index,content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword,extracted_phrases
2,bad app. u will verify your phone foerever! very funny!,bad application. you will verify your phone foerever! very funny!,en,-0.2242,0.267,0.524,0.209,-1,"[('bad application', 0.6711), ('verify phone foerever', 0.5601), ('bad', 0.3366), ('funny', 0.2433), ('foerever', 0.0944)]",bad application
2,bad app. u will verify your phone foerever! very funny!,bad application. you will verify your phone foerever! very funny!,en,-0.2242,0.267,0.524,0.209,-1,"[('bad application', 0.6711), ('verify phone foerever', 0.5601), ('bad', 0.3366), ('funny', 0.2433), ('foerever', 0.0944)]",verify phone foerever
2,bad app. u will verify your phone foerever! very funny!,bad application. you will verify your phone foerever! very funny!,en,-0.2242,0.267,0.524,0.209,-1,"[('bad application', 0.6711), ('verify phone foerever', 0.5601), ('bad', 0.3366), ('funny', 0.2433), ('foerever', 0.0944)]",bad
2,bad app. u will verify your phone foerever! very funny!,bad application. you will verify your phone foerever! very funny!,en,-0.2242,0.267,0.524,0.209,-1,"[('bad application', 0.6711), ('verify phone foerever', 0.5601), ('bad', 0.3366), ('funny', 0.2433), ('foerever', 0.0944)]",funny
2,bad app. u will verify your phone foerever! very funny!,bad application. you will verify your phone foerever! very funny!,en,-0.2242,0.267,0.524,0.209,-1,"[('bad application', 0.6711), ('verify phone foerever', 0.5601), ('bad', 0.3366), ('funny', 0.2433), ('foerever', 0.0944)]",foerever
3,"Fast, reliable, cheap. Thank you.","fast, reliable, cheap. thank you.",en,0.3612,0.0,0.615,0.385,1,"[('fast reliable cheap', 0.7759), ('reliable', 0.4968), ('cheap thank', 0.4805), ('fast', 0.3924), ('thank', 0.1354)]",fast reliable cheap
3,"Fast, reliable, cheap. Thank you.","fast, reliable, cheap. thank you.",en,0.3612,0.0,0.615,0.385,1,"[('fast reliable cheap', 0.7759), ('reliable', 0.4968), ('cheap thank', 0.4805), ('fast', 0.3924), ('thank', 0.1354)]",reliable
3,"Fast, reliable, cheap. Thank you.","fast, reliable, cheap. thank you.",en,0.3612,0.0,0.615,0.385,1,"[('fast reliable cheap', 0.7759), ('reliable', 0.4968), ('cheap thank', 0.4805), ('fast', 0.3924), ('thank', 0.1354)]",cheap thank
3,"Fast, reliable, cheap. Thank you.","fast, reliable, cheap. thank you.",en,0.3612,0.0,0.615,0.385,1,"[('fast reliable cheap', 0.7759), ('reliable', 0.4968), ('cheap thank', 0.4805), ('fast', 0.3924), ('thank', 0.1354)]",fast
3,"Fast, reliable, cheap. Thank you.","fast, reliable, cheap. thank you.",en,0.3612,0.0,0.615,0.385,1,"[('fast reliable cheap', 0.7759), ('reliable', 0.4968), ('cheap thank', 0.4805), ('fast', 0.3924), ('thank', 0.1354)]",thank
4,"my experience consulting with doctor Dinar Witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.","my experience consulting with doctor dinar witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.",en,-0.6311,0.109,0.891,0.0,-1,"[('witasari uncomfortable doctor', 0.5751), ('service whatsapp', 0.5027), ('dinar', 0.2605), ('experience consulting', 0.2473), ('reply 30 minutes', 0.1388)]",witasari uncomfortable doctor
4,"my experience consulting with doctor Dinar Witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.","my experience consulting with doctor dinar witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.",en,-0.6311,0.109,0.891,0.0,-1,"[('witasari uncomfortable doctor', 0.5751), ('service whatsapp', 0.5027), ('dinar', 0.2605), ('experience consulting', 0.2473), ('reply 30 minutes', 0.1388)]",service whatsapp
4,"my experience consulting with doctor Dinar Witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.","my experience consulting with doctor dinar witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.",en,-0.6311,0.109,0.891,0.0,-1,"[('witasari uncomfortable doctor', 0.5751), ('service whatsapp', 0.5027), ('dinar', 0.2605), ('experience consulting', 0.2473), ('reply 30 minutes', 0.1388)]",dinar
4,"my experience consulting with doctor Dinar Witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.","my experience consulting with doctor dinar witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.",en,-0.6311,0.109,0.891,0.0,-1,"[('witasari uncomfortable doctor', 0.5751), ('service whatsapp', 0.5027), ('dinar', 0.2605), ('experience consulting', 0.2473), ('reply 30 minutes', 0.1388)]",experience consulting
4,"my experience consulting with doctor Dinar Witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.","my experience consulting with doctor dinar witasari was very uncomfortable, the doctor was slow to respond and my chat was disconnected because the doctor did not reply for more than 30 minutes, and also the customer service on whatsapp is not willing to help.",en,-0.6311,0.109,0.891,0.0,-1,"[('witasari uncomfortable doctor', 0.5751), ('service whatsapp', 0.5027), ('dinar', 0.2605), ('experience consulting', 0.2473), ('reply 30 minutes', 0.1388)]",reply 30 minutes
5,Best app untuk konsultasi,best application untuk konsultasi,en,0.6369,0.0,0.417,0.583,2,"[('application untuk konsultasi', 0.8638), ('best application', 0.6756), ('konsultasi', 0.6321), ('untuk', 0.3776), ('best', 0.1831)]",application untuk konsultasi
5,Best app untuk konsultasi,best application untuk konsultasi,en,0.6369,0.0,0.417,0.583,2,"[('application untuk konsultasi', 0.8638), ('best application', 0.6756), ('konsultasi', 0.6321), ('untuk', 0.3776), ('best', 0.1831)]",best application
5,Best app untuk konsultasi,best application untuk konsultasi,en,0.6369,0.0,0.417,0.583,2,"[('application untuk konsultasi', 0.8638), ('best application', 0.6756), ('konsultasi', 0.6321), ('untuk', 0.3776), ('best', 0.1831)]",konsultasi
5,Best app untuk konsultasi,best application untuk konsultasi,en,0.6369,0.0,0.417,0.583,2,"[('application untuk konsultasi', 0.8638), ('best application', 0.6756), ('konsultasi', 0.6321), ('untuk', 0.3776), ('best', 0.1831)]",untuk
5,Best app untuk konsultasi,best application untuk konsultasi,en,0.6369,0.0,0.417,0.583,2,"[('application untuk konsultasi', 0.8638), ('best application', 0.6756), ('konsultasi', 0.6321), ('untuk', 0.3776), ('best', 0.1831)]",best
6,"Consulted to a doctor and ordered a medicine in Alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. My sore throat deteriorates because of waiting the medication that never comes. I'm never going to use this app again.","consulted to a doctor and ordered a medicine in alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. my sore throat deteriorates because of waiting the medication that never comes. i am never going to use this application again.",en,-0.2824,0.063,0.896,0.041,-1,"[('ordered medicine alodokter', 0.6469), ('sore throat deteriorates', 0.4944), ('instant courier', 0.2926), ('use application', 0.1776), ('waiting', 0.124)]",ordered medicine alodokter
6,"Consulted to a doctor and ordered a medicine in Alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. My sore throat deteriorates because of waiting the medication that never comes. I'm never going to use this app again.","consulted to a doctor and ordered a medicine in alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. my sore throat deteriorates because of waiting the medication that never comes. i am never going to use this application again.",en,-0.2824,0.063,0.896,0.041,-1,"[('ordered medicine alodokter', 0.6469), ('sore throat deteriorates', 0.4944), ('instant courier', 0.2926), ('use application', 0.1776), ('waiting', 0.124)]",sore throat deteriorates
6,"Consulted to a doctor and ordered a medicine in Alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. My sore throat deteriorates because of waiting the medication that never comes. I'm never going to use this app again.","consulted to a doctor and ordered a medicine in alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. my sore throat deteriorates because of waiting the medication that never comes. i am never going to use this application again.",en,-0.2824,0.063,0.896,0.041,-1,"[('ordered medicine alodokter', 0.6469), ('sore throat deteriorates', 0.4944), ('instant courier', 0.2926), ('use application', 0.1776), ('waiting', 0.124)]",instant courier
6,"Consulted to a doctor and ordered a medicine in Alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. My sore throat deteriorates because of waiting the medication that never comes. I'm never going to use this app again.","consulted to a doctor and ordered a medicine in alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. my sore throat deteriorates because of waiting the medication that never comes. i am never going to use this application again.",en,-0.2824,0.063,0.896,0.041,-1,"[('ordered medicine alodokter', 0.6469), ('sore throat deteriorates', 0.4944), ('instant courier', 0.2926), ('use application', 0.1776), ('waiting', 0.124)]",use application
6,"Consulted to a doctor and ordered a medicine in Alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. My sore throat deteriorates because of waiting the medication that never comes. I'm never going to use this app again.","consulted to a doctor and ordered a medicine in alodokter with instant courier but the medicine never been picked up and delivered, while the order cannot be cancelled. my sore throat deteriorates because of waiting the medication that never comes. i am never going to use this application again.",en,-0.2824,0.063,0.896,0.041,-1,"[('ordered medicine alodokter', 0.6469), ('sore throat deteriorates', 0.4944), ('instant courier', 0.2926), ('use application', 0.1776), ('waiting', 0.124)]",waiting
7,"Perbanyak kerja sama untuk jaringan apotek diarea luar pulau Jawa, it's just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.","perbanyak kerja sama untuk jaringan apotek diarea luar pulau jawa, it is just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.",en,-0.5106,0.093,0.907,0.0,-1,"[('delivery medicines days', 0.6408), ('sick person wait', 0.478), ('perbanyak kerja sama', 0.2924), ('diarea', 0.1543), ('just make sense', 0.1396)]",delivery medicines days
7,"Perbanyak kerja sama untuk jaringan apotek diarea luar pulau Jawa, it's just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.","perbanyak kerja sama untuk jaringan apotek diarea luar pulau jawa, it is just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.",en,-0.5106,0.093,0.907,0.0,-1,"[('delivery medicines days', 0.6408), ('sick person wait', 0.478), ('perbanyak kerja sama', 0.2924), ('diarea', 0.1543), ('just make sense', 0.1396)]",sick person wait
7,"Perbanyak kerja sama untuk jaringan apotek diarea luar pulau Jawa, it's just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.","perbanyak kerja sama untuk jaringan apotek diarea luar pulau jawa, it is just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.",en,-0.5106,0.093,0.907,0.0,-1,"[('delivery medicines days', 0.6408), ('sick person wait', 0.478), ('perbanyak kerja sama', 0.2924), ('diarea', 0.1543), ('just make sense', 0.1396)]",perbanyak kerja sama
7,"Perbanyak kerja sama untuk jaringan apotek diarea luar pulau Jawa, it's just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.","perbanyak kerja sama untuk jaringan apotek diarea luar pulau jawa, it is just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.",en,-0.5106,0.093,0.907,0.0,-1,"[('delivery medicines days', 0.6408), ('sick person wait', 0.478), ('perbanyak kerja sama', 0.2924), ('diarea', 0.1543), ('just make sense', 0.1396)]",diarea
7,"Perbanyak kerja sama untuk jaringan apotek diarea luar pulau Jawa, it's just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.","perbanyak kerja sama untuk jaringan apotek diarea luar pulau jawa, it is just not make sense for a sick person to wait for the delivery of their medicines for 4 days or even more.",en,-0.5106,0.093,0.907,0.0,-1,"[('delivery medicines days', 0.6408), ('sick person wait', 0.478), ('perbanyak kerja sama', 0.2924), ('diarea', 0.1543), ('just make sense', 0.1396)]",just make sense
8,Very easy to use,very easy to use,en,0.4927,0.0,0.484,0.516,2,"[('easy use', 0.872), ('use', 0.5285), ('easy', 0.4728)]",easy use
8,Very easy to use,very easy to use,en,0.4927,0.0,0.484,0.516,2,"[('easy use', 0.872), ('use', 0.5285), ('easy', 0.4728)]",use
8,Very easy to use,very easy to use,en,0.4927,0.0,0.484,0.516,2,"[('easy use', 0.872), ('use', 0.5285), ('easy', 0.4728)]",easy
9,"rich dick, oh I'm so poor that I don't know if it pays no!!! I'm poor means yes right","rich dick, oh i am so poor that i do not know if it pays no!!! i am poor means yes right",en,-0.7156,0.357,0.443,0.2,-1,"[('know pays poor', 0.7042), ('rich', 0.5457), ('dick', 0.3442), ('means yes right', 0.2144), ('oh', 0.1809)]",know pays poor
9,"rich dick, oh I'm so poor that I don't know if it pays no!!! I'm poor means yes right","rich dick, oh i am so poor that i do not know if it pays no!!! i am poor means yes right",en,-0.7156,0.357,0.443,0.2,-1,"[('know pays poor', 0.7042), ('rich', 0.5457), ('dick', 0.3442), ('means yes right', 0.2144), ('oh', 0.1809)]",rich
9,"rich dick, oh I'm so poor that I don't know if it pays no!!! I'm poor means yes right","rich dick, oh i am so poor that i do not know if it pays no!!! i am poor means yes right",en,-0.7156,0.357,0.443,0.2,-1,"[('know pays poor', 0.7042), ('rich', 0.5457), ('dick', 0.3442), ('means yes right', 0.2144), ('oh', 0.1809)]",dick
9,"rich dick, oh I'm so poor that I don't know if it pays no!!! I'm poor means yes right","rich dick, oh i am so poor that i do not know if it pays no!!! i am poor means yes right",en,-0.7156,0.357,0.443,0.2,-1,"[('know pays poor', 0.7042), ('rich', 0.5457), ('dick', 0.3442), ('means yes right', 0.2144), ('oh', 0.1809)]",means yes right
9,"rich dick, oh I'm so poor that I don't know if it pays no!!! I'm poor means yes right","rich dick, oh i am so poor that i do not know if it pays no!!! i am poor means yes right",en,-0.7156,0.357,0.443,0.2,-1,"[('know pays poor', 0.7042), ('rich', 0.5457), ('dick', 0.3442), ('means yes right', 0.2144), ('oh', 0.1809)]",oh
10,Very annoying and laggy apps when chatting,very annoying and laggy application when chatting,en,-0.4576,0.333,0.667,0.0,-1,"[('laggy application chatting', 0.9263), ('application chatting', 0.6545), ('chatting', 0.4546), ('application', 0.3112), ('annoying', 0.2606)]",laggy application chatting
10,Very annoying and laggy apps when chatting,very annoying and laggy application when chatting,en,-0.4576,0.333,0.667,0.0,-1,"[('laggy application chatting', 0.9263), ('application chatting', 0.6545), ('chatting', 0.4546), ('application', 0.3112), ('annoying', 0.2606)]",application chatting
10,Very annoying and laggy apps when chatting,very annoying and laggy application when chatting,en,-0.4576,0.333,0.667,0.0,-1,"[('laggy application chatting', 0.9263), ('application chatting', 0.6545), ('chatting', 0.4546), ('application', 0.3112), ('annoying', 0.2606)]",chatting
10,Very annoying and laggy apps when chatting,very annoying and laggy application when chatting,en,-0.4576,0.333,0.667,0.0,-1,"[('laggy application chatting', 0.9263), ('application chatting', 0.6545), ('chatting', 0.4546), ('application', 0.3112), ('annoying', 0.2606)]",application
10,Very annoying and laggy apps when chatting,very annoying and laggy application when chatting,en,-0.4576,0.333,0.667,0.0,-1,"[('laggy application chatting', 0.9263), ('application chatting', 0.6545), ('chatting', 0.4546), ('application', 0.3112), ('annoying', 0.2606)]",annoying
11,Smart and easy clinical action and consultation,smart and easy clinical action and consultation,en,0.6808,0.0,0.472,0.528,2,"[('smart easy clinical', 0.8006), ('action consultation', 0.6143), ('clinical action', 0.5888), ('smart', 0.3345), ('easy', 0.2119)]",smart easy clinical
11,Smart and easy clinical action and consultation,smart and easy clinical action and consultation,en,0.6808,0.0,0.472,0.528,2,"[('smart easy clinical', 0.8006), ('action consultation', 0.6143), ('clinical action', 0.5888), ('smart', 0.3345), ('easy', 0.2119)]",action consultation
11,Smart and easy clinical action and consultation,smart and easy clinical action and consultation,en,0.6808,0.0,0.472,0.528,2,"[('smart easy clinical', 0.8006), ('action consultation', 0.6143), ('clinical action', 0.5888), ('smart', 0.3345), ('easy', 0.2119)]",clinical action
11,Smart and easy clinical action and consultation,smart and easy clinical action and consultation,en,0.6808,0.0,0.472,0.528,2,"[('smart easy clinical', 0.8006), ('action consultation', 0.6143), ('clinical action', 0.5888), ('smart', 0.3345), ('easy', 0.2119)]",smart
11,Smart and easy clinical action and consultation,smart and easy clinical action and consultation,en,0.6808,0.0,0.472,0.528,2,"[('smart easy clinical', 0.8006), ('action consultation', 0.6143), ('clinical action', 0.5888), ('smart', 0.3345), ('easy', 0.2119)]",easy
12,"Actually the one star reviewers were right. I dont know about the other 3 stars above. But what the one star reviewers said, it happened to me. Just be careful.","actually the one star reviewers were right. i do not know about the other 3 stars above. but what the one star reviewers said, it happened to me. just be careful.",en,0.2263,0.0,0.939,0.061,1,"[('star reviewers said', 0.6606), ('right know stars', 0.4032), ('happened just careful', 0.2756), ('right', 0.1262), ('know', 0.1017)]",star reviewers said
12,"Actually the one star reviewers were right. I dont know about the other 3 stars above. But what the one star reviewers said, it happened to me. Just be careful.","actually the one star reviewers were right. i do not know about the other 3 stars above. but what the one star reviewers said, it happened to me. just be careful.",en,0.2263,0.0,0.939,0.061,1,"[('star reviewers said', 0.6606), ('right know stars', 0.4032), ('happened just careful', 0.2756), ('right', 0.1262), ('know', 0.1017)]",right know stars
12,"Actually the one star reviewers were right. I dont know about the other 3 stars above. But what the one star reviewers said, it happened to me. Just be careful.","actually the one star reviewers were right. i do not know about the other 3 stars above. but what the one star reviewers said, it happened to me. just be careful.",en,0.2263,0.0,0.939,0.061,1,"[('star reviewers said', 0.6606), ('right know stars', 0.4032), ('happened just careful', 0.2756), ('right', 0.1262), ('know', 0.1017)]",happened just careful
12,"Actually the one star reviewers were right. I dont know about the other 3 stars above. But what the one star reviewers said, it happened to me. Just be careful.","actually the one star reviewers were right. i do not know about the other 3 stars above. but what the one star reviewers said, it happened to me. just be careful.",en,0.2263,0.0,0.939,0.061,1,"[('star reviewers said', 0.6606), ('right know stars', 0.4032), ('happened just careful', 0.2756), ('right', 0.1262), ('know', 0.1017)]",right
12,"Actually the one star reviewers were right. I dont know about the other 3 stars above. But what the one star reviewers said, it happened to me. Just be careful.","actually the one star reviewers were right. i do not know about the other 3 stars above. but what the one star reviewers said, it happened to me. just be careful.",en,0.2263,0.0,0.939,0.061,1,"[('star reviewers said', 0.6606), ('right know stars', 0.4032), ('happened just careful', 0.2756), ('right', 0.1262), ('know', 0.1017)]",know
13,payment can use bank transfer,payment can use bank transfer,en,0.0,0.0,1.0,0.0,0,"[('payment use bank', 0.8427), ('bank transfer', 0.8087), ('payment', 0.658), ('transfer', 0.5286), ('use', 0.1463)]",payment use bank
13,payment can use bank transfer,payment can use bank transfer,en,0.0,0.0,1.0,0.0,0,"[('payment use bank', 0.8427), ('bank transfer', 0.8087), ('payment', 0.658), ('transfer', 0.5286), ('use', 0.1463)]",bank transfer
13,payment can use bank transfer,payment can use bank transfer,en,0.0,0.0,1.0,0.0,0,"[('payment use bank', 0.8427), ('bank transfer', 0.8087), ('payment', 0.658), ('transfer', 0.5286), ('use', 0.1463)]",payment
13,payment can use bank transfer,payment can use bank transfer,en,0.0,0.0,1.0,0.0,0,"[('payment use bank', 0.8427), ('bank transfer', 0.8087), ('payment', 0.658), ('transfer', 0.5286), ('use', 0.1463)]",transfer
13,payment can use bank transfer,payment can use bank transfer,en,0.0,0.0,1.0,0.0,0,"[('payment use bank', 0.8427), ('bank transfer', 0.8087), ('payment', 0.658), ('transfer', 0.5286), ('use', 0.1463)]",use
14,"A total disgrace to e-health marketplace. Would suggest to uninstall to move to other as this is one of the most unprofessional meds marketplace. Got my money deducted and order cancelled right away-- now CS telling me that it need at least one working day to refund the money, because order was cancelled due to shortage in warehouse. Then what's the point of having inventory management as marketplace here?? It's worse than make a phone call to a drugstore, at least they don't reserve your money","a total disgrace to e-health marketplace. would suggest to uninstall to move to other as this is one of the most unprofessional meds marketplace. got my money deducted and order cancelled right away-- now cs telling me that it need at least one working day to refund the money, because order was cancelled due to shortage in warehouse. then what is the point of having inventory management as marketplace here?? it is worse than make a phone call to a drugstore, at least they do not reserve your money",en,-0.9387,0.171,0.829,0.0,-1,"[('inventory management marketplace', 0.647), ('money order cancelled', 0.3888), ('suggest uninstall', 0.2554), ('total disgrace health', 0.2023), ('right away cs', 0.1299)]",inventory management marketplace
14,"A total disgrace to e-health marketplace. Would suggest to uninstall to move to other as this is one of the most unprofessional meds marketplace. Got my money deducted and order cancelled right away-- now CS telling me that it need at least one working day to refund the money, because order was cancelled due to shortage in warehouse. Then what's the point of having inventory management as marketplace here?? It's worse than make a phone call to a drugstore, at least they don't reserve your money","a total disgrace to e-health marketplace. would suggest to uninstall to move to other as this is one of the most unprofessional meds marketplace. got my money deducted and order cancelled right away-- now cs telling me that it need at least one working day to refund the money, because order was cancelled due to shortage in warehouse. then what is the point of having inventory management as marketplace here?? it is worse than make a phone call to a drugstore, at least they do not reserve your money",en,-0.9387,0.171,0.829,0.0,-1,"[('inventory management marketplace', 0.647), ('money order cancelled', 0.3888), ('suggest uninstall', 0.2554), ('total disgrace health', 0.2023), ('right away cs', 0.1299)]",money order cancelled
14,"A total disgrace to e-health marketplace. Would suggest to uninstall to move to other as this is one of the most unprofessional meds marketplace. Got my money deducted and order cancelled right away-- now CS telling me that it need at least one working day to refund the money, because order was cancelled due to shortage in warehouse. Then what's the point of having inventory management as marketplace here?? It's worse than make a phone call to a drugstore, at least they don't reserve your money","a total disgrace to e-health marketplace. would suggest to uninstall to move to other as this is one of the most unprofessional meds marketplace. got my money deducted and order cancelled right away-- now cs telling me that it need at least one working day to refund the money, because order was cancelled due to shortage in warehouse. then what is the point of having inventory management as marketplace here?? it is worse than make a phone call to a drugstore, at least they do not reserve your money",en,-0.9387,0.171,0.829,0.0,-1,"[('inventory management marketplace', 0.647), ('money order cancelled', 0.3888), ('suggest uninstall', 0.2554), ('total disgrace health', 0.2023), ('right away cs', 0.1299)]",suggest uninstall
